AAB	ABELAG AVIATION
RNE	AIR SALONE LTD
RNG	RENEGADE AIR LIMITED
RNI	RENNIA AVIATION LLC
RNO	AIRONE GMBH
RNR	AIR CARGO MASTERS, INC. (SIOUX FALLS, SD)
RNS	RONSO, S.A. DE C.V.
RNV	ARMAVIA
RNX	1 TIME AIRLINE (PTY) LTD
ROA	ATOM AIRWAYS
ROB	SLL RESOURCES LIMITED
ROD	AERODAN, S.A. DE C.V.
ROE	AEROESTE SRL
ROF	ROMANIAN AIR FORCE
ROG	FUNDACION REGO
ROI	AVIOR AIRLINES, C.A.
ROJ	ROYAL JET
ROK	RED ROCK FLIGHT SCHOOL
ROL	AEROEL AIRWAYS LTD
ROM	ENCOMPASS AVIATION
RON	NAURU AIR CORPORATION
ROO	AERO ROA, S.A. DE C.V.
ROR	RORAIMA AIRWAYS
ROS	F.A.S. RHODOS PILOTS ACADEMY
ROT	COMPANIA NATIONALA DE TRANSPORTURI AERIENE ROMANE TAROM S.A.
ROU	AIR CANADA ROUGE
ROV	ROVER AIRWAYS INTERNATIONAL, INC. (PAGOSA SPRINGS,CO)
ROW	NOR AVIATION
ROX	ROBLEX AVIATION, INC. (BAYAMON, PR)
ROY	ROY RITTER SKY DIVE
RPA	REPUBLIC AIRLINES, INC. (INDIANAPOLIS, IN)
RPB	AEROREPUBLICA
RPC	AEROLINEAS DEL PACIFICO - AEROPACSA
RPH	REPUBLIC EXPRESS AIRLINES, PT.
RPK	ROYAL AIRLINES (PVT) LIMITED
RPM	POLARIS AVIATION SOLUTIONS (TETERBORO, NJ)
RPN	U.S. IMMIGRATION AND CUSTOM ENFORCEMENT (KANSAS CITY, MO)
RPP	GOVERNMENT OF THE PHILIPPINES
RPR	ADMINISTRACION PROFESIONAL DE AERONAVES, S.A. DE C.V.
RPS	GLOBAL AIR CHARTER, INC. (ENGLEWOOD, CO)
RPX	BAC EXPRESS AIRLINES LIMITED
RQJ	AIRTREK
RQT	AIRQUEST AVIATION, LP (BUTLER,PA)
RRA	ROYAL RWANDA AIRLINES
RRC	AERO ROCA, S.A. DE C.V.
RRE	AEROTRANSPORTES INTERNACIONALES DE TORREON, S.A. DE C.V.
RRF	UK ROYAL POSITIONING FLIGHTS (IN MILITARY AIRCRAFT)
RRK	ASIA CONTINENTAL AVIALINES
RRL	ROLLS ROYCE LTD. (MILITARY AVIATION)
RRN	ARARAT INTERNATIONAL AIRLINE LLC
RRR	RAF-HQSTC (AIR TRANSPORT)
RRS	BOSCOMBE DOWN DERA (FORMATION)
RRT	TRANSPORTES AEREOS SIERRA ALTA, S.A. DE C.V.
RRV	MOMBASA AIR SAFARI LTD
RRY	AVIANA AIRWAYS LIMITED
RRZ	ROLLRIGHT AVIATION LTD
RSA	ELISRA AIRLINES
RSB	RUBYSTAR
RSC	CANARIAS AIRLINES, COMPANIA DE AVIACION S.L.U.
RSD	SPECIAL DETACHMENT - RUSSIA, FEDERAL STATE BUDGET INSTITUTION
RSE	IROSE LTD.
RSF	ROYAL SAUDI AIR FORCE
RSH	AIR SAHARA
RSI	AIR SUNSHINE INC (FT. LAUDERDALE, FL)
RSJ	RUSJET, JOINT-STOCK COMPANY
RSK	DSWA, LLC (DULLES, VA)
RSL	PANAMA AIRCRAFT RENTAL AND SALES, INC.
RSM	ROYAL STAR AVIATION INC.
RSN	ROYAL SWAZI NATIONAL AIRWAYS CORPORATION
RSO	AERO ASIA
RSP	SUPERIOR AIR CHARTER DBA JETSUITE AIR (MEDFORD, OR)
RSQ	INTERNATIONAL SOS WINDHOEK
RSR	AEROSERVICE
RSS	ROSSAIR (PTY) LTD
RST	RESORT AIR (BALTIMORE, MD)
RSU	AEROSUR, COMPANIA BOLIVIANA DE TRANSPORTE AEREO PRIVADO S.A.
RSV	RED SKY VENTURES CC
RSW	ROYAL SKYWAYS CO., LTD
RSX	RED SEA AIRLINES
RSY	I FLY LTD
RTD	L-3 COMMUNICATIONS FLIGHT INTERNATIONAL AVIATION LLC (NEWPORT NEWS, VA)
RTE	AERO TRANSPORTE LA MONTANA, C.A.
RTG	RELY AS
RTI	ROTOR ITALIA S.A.S. DI RUSPA PAOLA E.C.
RTK	ROTKOPF AVIATION ITALIA S.R.L.
RTL	AIR THANLWIN LIMITED.
RTM	TRANS AM COMPANIA LTDA.
RTN	RAYTHEON AIRCRAFT COMPANY (WICHITA, KS)
RTO	RECTIMO AIR TRANSPORTS
RTR	AIR TRUST JSC
RTS	RELIEF TRANSPORT SERVICES LTD.
RTU	AEROTUCAN, S.A. DE C.V.
RTV	NORTAVIA
RTY	AIMS COMMUNITY COLLEGE
RTZ	REGIONAL AIR SERVICES
RUC	RUTAS AEREAS, C.A.
RUF	AIR 1ST AVIATION COMPANIES OF OKLAHOMA, INC. (TULSA, OK)
RUK	RYANAIR UK LIMITED
RUM	AIR RUM LTD
RUN	ACT HAVAYOLLARI A.S.
RUR	RUSSAIR AIRCOMPANY, CLOSED JOINT STOCK COMPANY
RUS	CIRRUS AIRLINES LUFTFAHRTGESELLSCHAFT MBH, SAARBRUCKEN
RUT	REUT AIRWAYS LTD
RUZ	ROSUERTOL
RVA	RAVEN AIR (ANCHORAGE, AK)
RVC	RICHARDS AVIATION, INC. (MEMPHIS, TN)
RVE	AIRVENTURE
RVF	RAVN ALASKA (ANCHORAGE AK)
RVG	AEROTOURS LA VINA, S.A. DE C.V.
RVI	AERO SERVICIOS, S.A. DE C.V.
RVJ	AIRCRAFT MANAGEMENT GROUP, INC. (MOON TOWNSHIP, PA)
RVL	AIR VALLEE S.P.A.
RVM	RIVER MINISTRIES AIR CHARTER SERVICES (PTY) LTD
RVN	QUALIFLIGHT TRAINING, INC. D/B/A/ RAVEN AIR (FORT WORTH, TX)
RVP	SEVENAIR
RVQ	AERO JET INTERNATIONAL (FORT LAUDERDALE, FL)
RVR	RAVEN AIR LTD.
RVT	AIRLINE ROSTVERTOL-AVIA CJSC
RVU	SKY TRAVEL LTD
RVV	REEVE AIR ALASKA, INC
RWD	RWANDAIR LTD.
RWE	ROYAL WEST AIRLINES (LAS VEGAS, NV)
RWG	C & M AIRWAYS, INC. (EL PASO, TX)
RWK	AIR TOURISME INSTRUCTION SERVICES
RWL	RWL GERMAN FLIGHT ACADEMY GMBH, MONCHENGLADBACH
RWN	RED WINGS, S.A. DE C.V.
RWY	AEROGROUP 98 LIMITED
RWZ	AIRLINES 400 JSC (RED WINGS AIRLINES)
RXA	REGIONAL EXPRESS AIRLINES
RXF	SHANDONG DAGAO INTERNATIONAL FLIGHT ACADEMY CO., LTD
RXI	RIYADH AIR
RXP	RAM EXPRESS
RXT	AEROXTRA, S.A. DE C.V.
RYA	RYAN AIR, INC. (ANCHORAGE, AK)
RYB	ROYAL BAHRAIN AIRLINES BSC (CLOSED)
RYJ	AEROTAXIS DEL MEDITERRANEO S.L.
RYL	ROYAL AIR CHARTER SERVICE, INC.
RYN	RYAN AVIATION CORPORATION D/B/A RYAN INTERNATIONAL AIRLINES (WICHITA,KS)
RYR	RYANAIR
RYS	RYANAIR SUN S.A.
RYW	ROYAL WINGS
RYZ	RYAZAN STATE AIR ENTERPRISE
RZA	JET FIGHTER FLIGHTS PTY LTD
RZB	REGIONAL LINHAS AEREAS S/A
RZJ	RIZON JET
RZL	AERO ZAMBIA LIMITED
RZN	GRIDIRON AIR LLC
RZO	SATA INTERNACIONAL - AZORES AIRLINES S.A
RZQ	RIZON QATAR
RZR	ZEPHYR EXPRESS (BURBANK, CA)
RZT	SUN RITZ JET CO., LTD
RZU	ZHERSU AVIA
SAA	SOUTH AFRICAN AIRWAYS (SAA)
SAB	SCHMIEDEL AIR SERVICE TCHAD
SAC	SUDANESE AERONAUTICAL SERVICES CO. LTD (SASCO AIRLINES)
SAD	SPETS AVIA INDASTRIA, MAC
SAE	SAMPOERNA AIR NUSANTARA, PT.
SAF	REPUBLIC OF SINGAPORE AIR FORCE
SAG	CHINA SOUTHERN AIRLINE GENERAL AVIATION LIMITED
SAH	SMART JET SP. Z O.O.
SAI	SHAHEEN AIR INTERNATIONAL
SAJ	SAINT JET CO., LTD.
SAK	RED ARROWS DISPLAY SQUADRON
SAM	USAF''S 89TH AIRLIFT WING- ANDREWS AIR FORCE BASE
SAN	SILVAIR SP. Z.O.O.
SAO	SAHEL AVIATION SERVICE
SAP	AVIA JAYNAR, AIR COMPANY LLC
SAQ	SAFE AIR COMPANY
SAR	SPRINTAIR CARGO SP Z.O.O
SAS	SCANDINAVIAN AIRLINES SYSTEM
SAT	SERVICO ACOREANO DE TRANSPORTES AEREOS - EP (SATA)
SAV	SUN AIR LIMITED LIABILITY COMPANY
SAW	FLY CHAM
SAX	SABAHAIR AVIATION SDN. BHD.
SAY	AIR COMPANY "SKY GATES AIRLINES" LLC
SAZ	SWISS AIR-AMBULANCE LTD., ZURICH
SBA	SOL LINHAS AEREAS LTDA
SBB	SKYBRIDGE INTERNATIONAL BALKAN DOO
SBC	MOUNT AIR CC T/A EMOYENI AIR CHARTER
SBD	SIBIA LTD
SBE	WORLD CLASS JET, LLC
SBF	SEVEN BAR FLYING SERVICE, INC. (ALBUQUERQUE, NM)
SBH	AEROSAAB, S.A. DE C.V.
SBI	SIBERIA AIRLINES
SBJ	TRANS SAHARA AIR LTD
SBK	BLUE SKY AVIATION SERVICES LTD
SBL	SKY BIRD AIRLINES
SBM	SKY BAHAMAS
SBN	SKYBOSNIA D.O.O.
SBO	STABO AIR LIMITED
SBP	SHAHIN BALL PARVAZ
SBQ	SMITHKLINE BEACHAM CLINICAL LABS
SBR	SABER AVIATION INC. (CHARLOTTE, NC)
SBS	SEABORNE AIRLINES (CHRISTIANSTED, USVI)
SBT	TAFTAN AIRLINES
SBU	SAINT BARTH COMMUTER
SBV	SKYBLUE AVIATION LTD
SBW	SNOWBIRD AIRLINES OY
SBZ	SCIBE AIRLIFT
SCA	SIERRA CHARLIE AVIATION
SCB	SAO PAULO AIR TRANSPORTS LTDA
SCC	SEACOAST AIRLINES, INC. (CLEARWATER, FL)
SCD	ASSOCIATED AVIATION LIMITED
SCE	SCENIC AIRLINES, INC. (N. LOS VEGAS, NV)
SCF	SOCOFER, LDA
SCG	SERVICIOS AEREOS COSTA CALIDA, S.L.
SCH	SEYCHELLES AIRLINES PTY LTD
SCI	SERVICIOS AEREOS SAN CRISTOBAL
SCJ	GRAN-AIRE, INC. DBA SPRING CITY AVIATION EAST, LLC
SCK	SKY CAM
SCL	SHELL CANADA
SCM	AMERICAN JET INTERNATIONAL CORP. (HOUSTON, TX)
SCN	TWC AVIATION, INC.
SCO	AIR CHARTER SCOTLAND EUROPE LTD
SCP	HELICOPTER. PL S.A.
SCQ	OSM AVIATION ACADEMY AB
SCR	SILVER CLOUD AIR GMBH, SCHIFFERSTADT
SCS	CHARTERS (SOUTH AFRICAN NON SCHEDULED AIRWAYS (PTY) LTD)
SCT	SAAB-AIRCRAFT AB
SCU	SPARTAN EDUCATION, LLC DBA SPARTAN COLLEGE OF AERONAUTICS AND TECHNOLOGY
SCV	SERVICIOS AEREOS DEL CENTRO, S.A. DE C.V.
SCW	SKYWEST CHARTER
SCX	MN AIRLINES, LLC, D/B/A SUN COUNTRY AIRLINES (MENDOTA HEIGHTS, MN)
SDB	SHORELINE AVIATION, LLC (OXFORD, CT)
SDC	SUNRISE AIRLINES (PAGE, AZ)
SDD	R I C INC., D/B/A SKYMASTER AIR TAXI (LACONIA, NH)
SDE	AIR PARTNERS CORP.
SDF	SUNRISE AIRWAYS (DOMINICA) LIMITED
SDG	STAR AIR, M/S GHODAWAT ENTERPRISES PVT. LTD.
SDI	SERVICIOS DINAMICOS DE AVIACION, S.A. DE C.V.
SDJ	CLUB 328 LTD
SDK	SOCIEDAD AEREA DEL CAQUETA LTDA
SDL	SKYDRIFT LTD
SDM	ROSSIYA AIRLINES, JOINT STOCK COMPANY
SDN	SPIRIT OF AFRICA AIRLINES
SDO	AEROLINEAS SANTO DOMINGO, S.A.
SDP	SAMA AIRLINE
SDQ	SERVICIO Y MANTENIMIENTO TECNICO DQ, S.A. DE C.V.
SDR	SUNDAIR GMBH
SDS	CAA TRAINING STANDARDS
SDT	SERVICIOS AEROS DEL ATLANTICO, S.L.
SDU	DUMONT AIRCRAFT CHARTER, LLC
SDV	SERVICIOS AEREOS DEL VAUPES LTDA.
SDX	SERVICIO TECNICO AERO DE MEXICO, S.A. DE C.V.
SDY	ISLAND EXPRESS (FT. LAUDERDALE, FL)
SDZ	SUDAN PEZETEL FOR AVIATION
SEA	SOUTHEAST AIR, INC. (NEW BEDFORD, MA)
SEB	EUROAVIA AIRLINES
SEC	3D AVIATION, INC. (HELENA, MT)
SED	SEDONA AIR CENTER (WEST SEDONA, AZ)
SEE	PEREGRINE AERIAL SURVEYS INC.
SEF	AERO SERVICIOS EJECUTIVAS DEL PACIFICO, S.A DE C.V.
SEG	EAGLE INTERNATIONAL
SEH	SKY EXPRESS S.A.
SEI	TRANSPORTES AEREOS SIERRA MADRE, S.A. DE C.V.
SEJ	SPICEJET
SEK	STAR EAST AIRLINE
SEL	SENTEL CORPORATION (NEWPORT NEWS, VA)
SEM	CAPE CENTRAL AIRWAYS, INC. (CAPE GIRARDEAU, MO)
SEN	SENOR AIR
SEO	SELCON AIRLINES LTD
SEP	SERENE AIR
SEQ	SKY EYES CO., LTD
SER	SENTRA AIRWAYS
SES	SERVICIO AEREO SALTILLO, S.A. DE C.V.
SET	SOLENTA AVIATION (PTY) LTD
SEU	SKYUP MT
SEV	SERAIR TRANSWORLD PRESS, S.L.
SEW	SKYWARD EXPRESS
SEY	AIR SEYCHELLES
SFA	ENAC
SFD	SPEED FLY
SFE	TRAVIS COUNTY EMS
SFF	SAFEWING AVIATION COMPANY, INC. (KANSAS CITY, MO)
SFG	SPREE FLUG LUFTFAHRT GMBH
SFH	NORTH AMERICAN JET CHARTER GROUP, LLC (WHEELING, IL)
SFI	THE SKY, INC.
SFJ	STAR FLYER INC
SFL	SWIFT AIR
SFM	A-SAFAR AIR SERVICES LIMITED
SFN	SAFIRAN AIRLINES
SFQ	SAHARA AIR CARGO
SFR	SAFAIR (PTY.) LTD
SFS	SWISS FLIGHT SERVICES
SFT	SKYFREIGHT, INC. (SEATTLE, WA)
SFU	SOLENT FLIGHT LIMITED
SFV	SAFE SERVICIOS AEREOS,S.A DE C.V
SFW	SAFI AIRWAYS
SFX	SPORTSMAN'S LLC./SWAMP FOX LLC.
SFY	SKYBORNE AIRLINE ACADEMY, INC.
SFZ	SKYFORCE AVIATION PTY., LTD.
SGA	SKY GUARD, LLC
SGB	SKY KING, INC. (SACRAMENTO, CA)
SGC	SPEC ENERGY
SGD	SOUTH EAST ASIAN AIRLINES (SEAIR) INTERNATIONAL, INC.
SGE	LONGHORN HELICOPTERS DBA HELICOPTER INSTITUTE
SGF	SWISS GOVERNMENT FLIGHTS (STAC)
SGG	SENEGAL AIRLINES
SGH	SERVISAIR LTD.
SGK	SUPREME AVIATION
SGL	7STAR GLOBAL AIRLINES LIMITED
	
SGM	SKY AIRCRAFT SERVICE
SGN	SIAM GENERAL AVIATION CO., LTD
SGO	ADMIRAL BEVERAGE CORPORATION
SGP	SAGOLAIR TRANSPORTES EJECUTIVOS S.L.
SGQ	SAUDIGULF AIRLINES
SGS	SASKATCHEWAN GOVERNMENT EXECUTIVE AIR SERVICE
SGT	STARGATE AVIATION CC
SGU	SOL DEL PARAGUAY LINEAS AEREAS S.A.
SGV	AEROSEGOVIA, S.A.
SGX	TRI-STATE JET CHARTER (DBA: SLATE AVIATION)
SHA	SHREE AIRLINES
SHB	SHABAIR
SHC	SKY HARBOR AIR SERVICE INC. (CHEYENNE, WY)
SHE	SIAM WINGS AIRLINES
SHF	SUPPORT HELICOPTER FORCE
SHG	SHOPRITE GROUP LTD
SHH	SKY HIGH AVIATION SERVICES DOMINICANA
SHI	SEPEHRAN AIRLINES
SHJ	SHARJAH RULER'S FLIGHT
SHL	SAMSON AVIATION LTD
SHM	SHELTAM AVIATION CC
SHN	SHAHEEN AIRPORT SERVICES
SHP	SAF HELICOPTERES
SHQ	SHANGHAI AIRLINES CARGO INTERNATIONAL COMPANY
SHR	AIR SYLHET AG
SHS	SHIRAK AVIA LLC
SHT	BRITISH AIRWAYS SHUTTLE
SHU	AURORA AIRLINES
SHV	SHAVANO AIR, INC. (PONCHA SPRINGS, CO)
SHW	KN HELICOPTERS A/S
SHX	SLIM AVIATION SERVICES LIMITED
SHY	SKY AIRLINES
SHZ	AIRSHARES ELITE (ATLANTA,GA)
SIA	SINGAPORE AIRLINES LIMITED
SIB	SEA AIR LTD.
SIC	SFS AVIATION CO LTD
SID	SIDERAL LINHAS AEREAS LTDA.
SIE	SIERRA EXPRESS (RENO, NV)
SIF	AIR SIAL LTD
SIH	SKYROADS AVIATION LLC
SII	AERO SERVICIOS EJECUTIVOS INTERNACIONALES, S.A. DE C.V.
SIK	SIKA AIRLINES
SIL	SILVER AIRWAYS CORP. (FORT LAUDERDALE, FL)
SIN	SIN-KUNG AIRWAYS SDN BHD
SIO	SIRIO S.P.A.
SIQ	ATMOSPHERIC RESEARCH BOULDER
SIR	SALAIR, INC. (SEATTLE, WA)
SIS	SCOTT AVIATION, LLC (FRESNO, CA)
SIU	SIRIUS AIRLINES
SIV	SOLENTA AVIATION - CI
SIW	SIRIO EXECUTIVE S.R.L.
SIX	SIXT RENTA CAR, LLC
SIY	EXECUTIVE AVIATION CORPORATION
SIZ	AERO SILZA, S.A. DE C.V.
SJA	SAWYER AVIATION, LLC
SJB	SKS AIRWAYS
SJC	SERVICIOS EJECUTIVOS CONTINENTAL, S.A. DE C.V.
SJD	SINO JET CO., LTD.
SJE	SUN AIR JETS (MCCLELLAN, CA)
SJF	FLY SKYJET
SJG	ALG GROUP LLC
SJI	SMART JET INTERNATIONAL SP. Z O.O.
SJJ	SPIRIT JETS, LLC (CHESTERFIELD, MO)
SJK	NUSANTARA AIR CHARTER, PT.
SJL	SKYJET
SJM	SINO JET MANAGEMENT LTD
SJN	RUGBY AVIATION, LLC DBA SAN JUAN AIRLINES
SJO	SPRING JAPAN CO., LTD.
SJS	SKYJETS & SUPPORT, S.A. DE C.V.
SJT	ASAJET AIRLINES
SJV	PT. SUPER AIR JET
SJX	STARLUX AIRLINES CO., LTD
SJY	SRIWIJAYA AIR, PT.
SKA	PREMIER AVIATION GROUP LTD D/B/A SKYLAN AIRWAYS
SKB	SKYBUS AIRLINES, INC. (COLUMBUS, OH)
SKC	SKYMASTER AIR LINES LTDA
SKD	SKY HARBOR AIR SERVICE, INC. (OMAHA, NE)
SKE	SKY TOURS, INC. (PORT CLINTON, OH)
SKF	SKYCRAFT, INC. (SEATTLE, WA)
SKG	SKY GABON
SKH	BRITISH SKY BROADCASTING LTD
SKI	SKYKING LTD
SKJ	SKY NET AIRLINE
SKK	ASKY
SKL	SKYCHARTER (MALTON) LIMITED
SKM	FAYETTEVILLE FLYING SERVICE AND SCHEDULED SKYWAYS SYSTEM (FAYETTEVILLE, AR)
SKN	SKYLINE AVIATION SERVICES, INC. (BEAVER FALLS, PA)
SKO	SCOTTISH AIRWAYS FLYERS LTD
SKP	SMARTLYNX AUSTRALIA
SKQ	LABCORP, INC. (BURLINGTON, NC)
SKR	SKYSCAPES AIR CHARTERS
SKT	AERO SKYTROPIC, S.A.
SKU	SKY SERVICE
SKV	SKYSIDE GMBH
SKW	SKY WEST AVIATION, INC. (ST. GEORGE, UT)
SKX	SKY AIRLINE PERU S.A.C.
SKY	SKYMARK AIRLINES INC.
SKZ	SKYWAY ENTERPRISES, INC. (KISSIMMEE, FL)
SLA	SIERRA NATIONAL AIRLINES
SLB	SLOK AIR LIMITED
SLD	SILVER AIR LTD
SLE	STREAMLINE NAC
SLF	SKYLINE AIRLINES
SLG	SASKATCHEWAN GOVERNMENT AIR AMBULANCE SERVICE
SLH	SILVERHAWK AVIATION, INC. (SEWARD, NE)
SLI	AEROLITORAL, S.A. DE C.V.
SLJ	SLAM LAVORI AEREI S.R.L.
SLK	SILKAIR (SINGAPORE) PTE LTD
SLM	SURINAAMSE LUCHTVAART MAATSCHAPPIJ N.V.
SLN	SLOANE HELICOPTERS
SLO	EDGARTOWN AIR, INC. (EDGARTOWN, MA)
SLP	SALPA AVIATION CO. LTD. (SUDAN)
SLQ	SKYLINK EXPRESS INC
SLR	SILVESTONE AIR SERVICES LTD
SLS	SUPER LEGACY XP LTD
SLT	STARLIGHT AIRLINE STP S.A
SLU	AVIO SLUZBA
SLV	STELLA AVIATION
SLW	SALAMA AIRLINES NIGERIA LIMITED
SLX	SETE LINHAS AEREAS LTDA.
SLY	SKY LINE FOR AIR SERVICES LTD
SLZ	SUPER LUZA
SMA	SMA AIRLINES NIG. LIMITED
SMB	SKYMARK EXECUTIVE S.R.L.
SMC	COMLUX SAN MARINO
SMD	SMJET S.R.L.
SMF	SAN MARINO EXECUTIVE AVIATION S.R.L.
SMG	SMARTLINE LUFTFAHRT GMBH
SMH	SMITHAIR, INC. (ATLANTA, GA)
SMI	AERO SAMI, S.A. DE C.V.
SMJ	AVIENT AVIATION
SMK	FREEDOM AIRLINE
SML	SKYLINE AVIATION SRL
SMM	SUMMIT AIRLINES (PHILADELPHIA, PA)
SMN	SIMARGL LTD, AIRCOMPANY
SMO	SERVICIOS AEREOS AUTOMOTRIZ, S.A DE C.V.
SMP	PRIMA AVIATION S.R.L.
SMQ	SAMAR AIR
SMR	SOMON AIR
SMS	LINHAS AEREAS SANTOMENSES
SMT	SKYLINE LTD
SMU	SANBORN MAP COMPANY (COLORADO SPRINGS, CO)
SMV	SMART AVIATION
SMW	CARPATAIR FLIGHT SERVICE
SMX	SWANTON MORLEY (RAF)
SMY	SMM FLIGHT SERVICES SA DE CV
SMZ	RAF SCAMPTON
SNA	LOGIC PAQ BTD, S.L.R.
SNB	STERLING AIR A/S
SNC	AIR CARGO CARRIERS, INC. (MILWAUKEE, WI)
SND	SKYTRADERS PTY LTD
SNE	SERVICIOS AEREOS DE NICARAGUA, S.A. (SANSA)
SNF	SUNAIR
SNG	LONG JIANG AIRLINES CO., LTD.
SNH	SENAIR SERVICES
SNI	SAVANAH AIRLINES LIMITED
SNJ	SOLASEED AIR INC.
SNK	SUN JET INTERNATIONAL, INC. D/B/A SOUTHEAST AIRLINES (LARGO, FL)
SNL	SOONAIR LINES, INC. (TULSA, OK)
SNM	SERVIZI AEREI SPA
SNO	SONI AVIONES, S.A. DE C.V.
SNP	SUN PACIFIC INTERNATIONAL, INC. (TUCSON, AZ)
SNQ	SUN QUEST EXECUTIVE AIR CHARTER, INC. (PACOIMA, CA)
SNR	SUN AIR CO.
SNT	SUNCOAST AVIATION, INC.(CLEARWATER,FL)
SNV	SUDANESE STATES AVIATION CO. LTD
SNW	SUN WEST AIRLINES (SCOTTSDALE, AZ)
SNX	AIR SWEDEN AVIATION AB
SNY	SERVICIOS AERONAUTICOS DE NAYARIT, S.A. DE C.V.
SOA	SOUTHERN AIR CHARTER
SOB	STABO FREIGHT LIMITED
SOC	SERVIAEREO, S.A. DE C.V.
SOD	AEROLINEAS SOL, S.A. DE C.V.
SOE	AIR SOLEIL, SOCIETE
SOF	SOL AIR
SOH	SOUTHERN OHIO AVIATION SALES CO. (W. CARROLLTON, OH)
SOI	SOUTHERN AVIATION LIMITED
SOK	S.A.C. INDUSTRIES, LLC (BOZEMAN, MT)
SOL	SOLOMON AIRLINES LIMITED
SOM	AERO SALMON, S.A. DE C.V.
SON	ACASS IRELAND LTD.
SOO	SOUTHERN AIR, INC. (COLUMBUS, OH)
SOP	SOLINAIR LTD
SOR	SONAIR SERVICO AEREO, SARL
SOT	SOUTHEAST CORRECT CRAFT, INC. (ORLANDO, FL)
SOU	SOUTH PACIFIC AIRLINES
SOV	SARATOV AVIATION DIVISION
SOW	PINK SPARROW GMBH
SOX	SOLID AIR B.V.
SOY	ISLAND AVIATION, INC.
SOZ	JET AIRLINES
SPA	SIERRA PACIFIC AIRLINES, INC. (TUCSON, AZ)
SPB	SPRINGBOK CLASSIC AIR
SPC	SKYWORLD AIRLINES (DENVER, CO)
SPD	SKY PRIME CHARTER
SPE	SPRAGUE ELECTRIC CO. (NORTH ADAMS, MA)
SPF	SPACE WORLD AIRLINE
SPG	SPEEDWINGS EXECUTIVE JET GMBH
SPH	SAPPHIRE EXECUTIVE AIR
	
SPI	SOUTH PACIFIC ISLAND AIRWAYS, INC.
SPJ	SPECTRUM AVIATION
SPK	SOLSTAS LAB PARTNERS (GREENSBORO, NC)
SPL	SERVICIOS CORPORATIVOS AEREOS DE LA LAGUNA, S.A. DE C.V.
SPN	HESA AIRLINES
SPO	SPORAVIA S.L.
SPP	SAPPHIRE AVIATION, INC. (WEST PALM BEACH, FL)
SPQ	SUN PHU QUOC AIRWAYS
SPR	PAL AEROSPACE LTD
SPS	SPASA (SERVICIOS POLITECNICOS AEREOS, S.A.)
SPT	SERVICIO SUPERIOR EJECUTIVO SA DE CV
SPU	SOUTHEAST AIRMOTIVE CORP. (CHARLOTTE, NC)
SPV	SERVICIOS PRIVADOS DE AVIACION, S.A. DE C.V.
SPW	ROYAL SPIRIT AIRWAYS
SPX	SERVICE PEOPLE GMBH, HAMBURG
SPY	ASIAN AEROSPACE SERVICE LTD
SPZ	AIRWORLD (PTY) LTD
SQA	SLOVAK NATIONAL AEROCLUB
SQC	SINGAPORE AIRLINES CARGO PTE LTD
SQD	TOMORROW'S AERONAUTICAL MUSEUM, INC. (COMPTON, CA)
SQF	SLOVAK AIR FORCE
SQH	BACKCOUNTRY AVIATION LLC
SQL	SERVICIOS DE ALQUILER AEREO, S.A. DE C.V.
SQM	SIAM AIR TRANSPORT CO., LTD
SQP	SKYUP AIRLINES
SQR	ALSAQER AVIATION
SQS	ASI PUDJIASTUTI AVIATION, PT
SQU	AEROSPATIALLE
SQY	VISION AIR
SRA	SAUDI ROYAL AVIATION
SRB	SERBIAN AIR FORCE
SRC	SEARCA LTDA.
SRD	HM COASTGUARD
SRE	SERAMI, C.A.
SRF	TRANSPORTES AEREOS SAN RAFAEL LTDA.
SRG	MARITIME AND COASTGUARD AGENCY
SRH	SIEM REAP AIRWAYS INTERNATIONAL
SRI	AIR SAFARIS AND SERVICES (NZ) LTD
SRJ	SURIJET.COM INC.
SRK	EATIS
SRL	SERVICIOS AERONAUTICOS AERO PERSONAL, S.A. DE C.V.
SRM	STARS DE MEXICO, S.A. DE C.V.
SRN	SPRINTAIR SA
SRO	SERVICIOS AEREOS EJECUTIVOS SAEREO S.A.
SRP	POLIZEIHUBSCHRAUBERSTAFFEL RHEINLAND-PFALZ, FLUGPLATZ WINNINGEN
SRQ	CEBGO, INC. DBA CEBGO
SRR	MAERSK AIR CARGO A/S
SRS	SOUTHERN SKY
SRT	SERVICIOS AEREOS SURTEP S.A. DE C V
SRU	STAR UP S.A.
SRV	AERO SERVICIO CORPORATIVO, S.A. DE C.V.
SRW	SARIT AIRLINES
SRX	SIERRA EXPRESSWAY AIRLINES (OAKLAND, CA)
SRY	VIA AIRLINES
SRZ	STRATO AIR SERVICES
SSA	SKY SERVICE AVIATION, S.L.
SSB	SUASA AIRLINES SDN BHD
SSC	SOUTHERN SEAPLANE, INC. (BELLE CHASSE, LA)
SSD	STAR SERVICE INTERNATIONAL
SSF	SEVERSTAL, LTD AIRCOMPANY
SSG	SLOVAK GOVERNMENT FLIGHT SERVICE
SSH	HERITAGE AVIATION, INC. D/B/A HERITAGE FLIGHT, LLC (S. BURLINGTON, VT)
SSI	VISION AIRLINES LTD
SSJ	KRASAVIA, JOINT-STOCK COMPANY
SSK	SKYSTAR INTERNATIONAL, INC. (WASHINGTON, NJ)
SSL	AIR SULTAN LIMITED
SSM	SOCIEDAD DE SALVAMENTO Y SEGURIDAD MARITIMA
